Date,Sales
2025-06-14 11:11:07.761112,6248.36
2025-06-15 11:11:07.761112,5939.11
2025-06-16 11:11:07.761112,5337.58
2025-06-17 11:11:07.761112,5782.12
2025-06-18 11:11:07.761112,4910.4
2025-06-19 11:11:07.761112,4917.27
2025-06-20 11:11:07.761112,5830.82
2025-06-21 11:11:07.761112,6441.41
2025-06-22 11:11:07.761112,5831.2
2025-06-23 11:11:07.761112,5333.09
2025-06-24 11:11:07.761112,4836.97
2025-06-25 11:11:07.761112,4842.68
2025-06-26 11:11:07.761112,5203.4
2025-06-27 11:11:07.761112,4132.65
2025-06-28 11:11:07.761112,5252.93
2025-06-29 11:11:07.761112,5842.48
2025-06-30 11:11:07.761112,4603.47
2025-07-01 11:11:07.761112,5273.88
2025-07-02 11:11:07.761112,4669.61
2025-07-03 11:11:07.761112,4424.34
2025-07-04 11:11:07.761112,5870.19
2025-07-05 11:11:07.761112,6060.19
2025-07-06 11:11:07.761112,6215.08
2025-07-07 11:11:07.761112,4445.59
2025-07-08 11:11:07.761112,4892.64
2025-07-09 11:11:07.761112,5227.16
2025-07-10 11:11:07.761112,4603.07
2025-07-11 11:11:07.761112,5373.29
2025-07-12 11:11:07.761112,5930.45
2025-07-13 11:11:07.761112,6093.16
2025-07-14 11:11:07.761112,4905.19
2025-07-15 11:11:07.761112,6139.05
2025-07-16 11:11:07.761112,5213.03
2025-07-17 11:11:07.761112,4697.79
2025-07-18 11:11:07.761112,5644.79
2025-07-19 11:11:07.761112,5678.04
2025-07-20 11:11:07.761112,6401.14
2025-07-21 11:11:07.761112,4274.29
2025-07-22 11:11:07.761112,4596.9
2025-07-23 11:11:07.761112,5366.29
2025-07-24 11:11:07.761112,5643.96
2025-07-25 11:11:07.761112,5367.28
2025-07-26 11:11:07.761112,6288.33
2025-07-27 11:11:07.761112,6203.84
2025-07-28 11:11:07.761112,4562.94
2025-07-29 11:11:07.761112,4949.14
2025-07-30 11:11:07.761112,5085.61
2025-07-31 11:11:07.761112,5851.36
2025-08-01 11:11:07.761112,5501.48
2025-08-02 11:11:07.761112,5522.33
2025-08-03 11:11:07.761112,6574.13
2025-08-04 11:11:07.761112,5157.73
2025-08-05 11:11:07.761112,5018.68
2025-08-06 11:11:07.761112,5669.85
2025-08-07 11:11:07.761112,5886.38
2025-08-08 11:11:07.761112,5843.39
2025-08-09 11:11:07.761112,6041.93
2025-08-10 11:11:07.761112,6315.17
2025-08-11 11:11:07.761112,5563.98
2025-08-12 11:11:07.761112,5892.99
2025-08-13 11:11:07.761112,5172.5
2025-08-14 11:11:07.761112,5326.13
2025-08-15 11:11:07.761112,4872.66
2025-08-16 11:11:07.761112,5921.13
2025-08-17 11:11:07.761112,6933.74
2025-08-18 11:11:07.761112,6124.55
2025-08-19 11:11:07.761112,5417.29
2025-08-20 11:11:07.761112,5961.93
2025-08-21 11:11:07.761112,5647.85
2025-08-22 11:11:07.761112,5151.34
2025-08-23 11:11:07.761112,6757.62
2025-08-24 11:11:07.761112,7354.18
2025-08-25 11:11:07.761112,5476.59
2025-08-26 11:11:07.761112,6283.7
2025-08-27 11:11:07.761112,4198.37
2025-08-28 11:11:07.761112,5926.06
2025-08-29 11:11:07.761112,5565.5
2025-08-30 11:11:07.761112,6485.11
2025-08-31 11:11:07.761112,6688.74
2025-09-01 11:11:07.761112,4548.8
2025-09-02 11:11:07.761112,5439.61
2025-09-03 11:11:07.761112,5734.87
2025-09-04 11:11:07.761112,6302.13
2025-09-05 11:11:07.761112,5310.92
2025-09-06 11:11:07.761112,6288.06
2025-09-07 11:11:07.761112,6449.67
2025-09-08 11:11:07.761112,6048.36
2025-09-09 11:11:07.761112,5761.9
2025-09-10 11:11:07.761112,5339.52
2025-09-11 11:11:07.761112,5867.9
2025-09-12 11:11:07.761112,5666.67
2025-09-13 11:11:07.761112,7234.32
2025-09-14 11:11:07.761112,6407.22
2025-09-15 11:11:07.761112,5474.91
2025-09-16 11:11:07.761112,5449.55
2025-09-17 11:11:07.761112,4920.72
2025-09-18 11:11:07.761112,5807.4
2025-09-19 11:11:07.761112,5796.74
2025-09-20 11:11:07.761112,6810.25
2025-09-21 11:11:07.761112,6698.64
2025-09-22 11:11:07.761112,4979.13
2025-09-23 11:11:07.761112,5483.36
2025-09-24 11:11:07.761112,5529.19
2025-09-25 11:11:07.761112,5306.28
2025-09-26 11:11:07.761112,5633.64
2025-09-27 11:11:07.761112,7067.41
2025-09-28 11:11:07.761112,7816.72
2025-09-29 11:11:07.761112,5822.18
2025-09-30 11:11:07.761112,5870.53
2025-10-01 11:11:07.761112,5711.4
2025-10-02 11:11:07.761112,4796.11
2025-10-03 11:11:07.761112,5749.11
2025-10-04 11:11:07.761112,6953.19
2025-10-05 11:11:07.761112,8162.94
2025-10-06 11:11:07.761112,5686.79
2025-10-07 11:11:07.761112,5940.61
2025-10-08 11:11:07.761112,5779.35
2025-10-09 11:11:07.761112,5219.23
2025-10-10 11:11:07.761112,6381.85
2025-10-11 11:11:07.761112,7356.74
2025-10-12 11:11:07.761112,7384.53
2025-10-13 11:11:07.761112,5376.35
2025-10-14 11:11:07.761112,6539.31
2025-10-15 11:11:07.761112,5143.85
2025-10-16 11:11:07.761112,6145.08
2025-10-17 11:11:07.761112,6953.74
2025-10-18 11:11:07.761112,6543.19
2025-10-19 11:11:07.761112,6763.55
2025-10-20 11:11:07.761112,5928.95
2025-10-21 11:11:07.761112,5634.25
2025-10-22 11:11:07.761112,5117.53
2025-10-23 11:11:07.761112,5934.01
2025-10-24 11:11:07.761112,5375.44
2025-10-25 11:11:07.761112,7332.95
2025-10-26 11:11:07.761112,6644.68
2025-10-27 11:11:07.761112,6702.17
2025-10-28 11:11:07.761112,5542.44
2025-10-29 11:11:07.761112,5779.9
2025-10-30 11:11:07.761112,6354.56
2025-10-31 11:11:07.761112,5339.24
2025-11-01 11:11:07.761112,7267.58
2025-11-02 11:11:07.761112,7815.66
2025-11-03 11:11:07.761112,5171.53
2025-11-04 11:11:07.761112,6074.46
2025-11-05 11:11:07.761112,6118.95
2025-11-06 11:11:07.761112,6386.79
2025-11-07 11:11:07.761112,5384.27
2025-11-08 11:11:07.761112,6551.31
2025-11-09 11:11:07.761112,7480.75
2025-11-10 11:11:07.761112,6171.84
2025-11-11 11:11:07.761112,6155.47
2025-11-12 11:11:07.761112,6210.31
2025-11-13 11:11:07.761112,5703.94
2025-11-14 11:11:07.761112,6166.95
2025-11-15 11:11:07.761112,7415.77
2025-11-16 11:11:07.761112,6920.3
2025-11-17 11:11:07.761112,7004.32
2025-11-18 11:11:07.761112,6315.21
2025-11-19 11:11:07.761112,5489.51
2025-11-20 11:11:07.761112,6420.31
2025-11-21 11:11:07.761112,5611.56
2025-11-22 11:11:07.761112,7720.47
2025-11-23 11:11:07.761112,7914.46
2025-11-24 11:11:07.761112,5709.16
2025-11-25 11:11:07.761112,6608.06
2025-11-26 11:11:07.761112,6339.63
2025-11-27 11:11:07.761112,6551.14
2025-11-28 11:11:07.761112,7095.37
2025-11-29 11:11:07.761112,7261.92
2025-11-30 11:11:07.761112,7015.99
2025-12-01 11:11:07.761112,5722.83
2025-12-02 11:11:07.761112,5766.55
2025-12-03 11:11:07.761112,6142.77
2025-12-04 11:11:07.761112,6358.76
2025-12-05 11:11:07.761112,6333.4
2025-12-06 11:11:07.761112,7855.9
2025-12-07 11:11:07.761112,7457.05
2025-12-08 11:11:07.761112,6942.43
2025-12-09 11:11:07.761112,6090.2
2025-12-10 11:11:07.761112,7589.48
2025-12-11 11:11:07.761112,6549.1
2025-12-12 11:11:07.761112,5814.55
2025-12-13 11:11:07.761112,6964.55
2025-12-14 11:11:07.761112,7749.48
2025-12-15 11:11:07.761112,6152.0
2025-12-16 11:11:07.761112,6627.6
2025-12-17 11:11:07.761112,6514.09
2025-12-18 11:11:07.761112,6247.93
2025-12-19 11:11:07.761112,5867.81
2025-12-20 11:11:07.761112,6800.27
2025-12-21 11:11:07.761112,7342.68
2025-12-22 11:11:07.761112,6740.01
2025-12-23 11:11:07.761112,6425.73
2025-12-24 11:11:07.761112,5702.68
2025-12-25 11:11:07.761112,6419.01
2025-12-26 11:11:07.761112,6531.94
2025-12-27 11:11:07.761112,7173.46
2025-12-28 11:11:07.761112,7700.49
2025-12-29 11:11:07.761112,6388.99
2025-12-30 11:11:07.761112,5795.27
2025-12-31 11:11:07.761112,6552.52
2026-01-01 11:11:07.761112,6660.89
2026-01-02 11:11:07.761112,6928.89
2026-01-03 11:11:07.761112,8199.98
2026-01-04 11:11:07.761112,6992.48
2026-01-05 11:11:07.761112,5939.05
2026-01-06 11:11:07.761112,6672.35
2026-01-07 11:11:07.761112,6678.6
2026-01-08 11:11:07.761112,6686.1
2026-01-09 11:11:07.761112,8361.81
2026-01-10 11:11:07.761112,8016.21
2026-01-11 11:11:07.761112,8306.79
2026-01-12 11:11:07.761112,6933.04
2026-01-13 11:11:07.761112,6788.61
2026-01-14 11:11:07.761112,6312.15
2026-01-15 11:11:07.761112,6856.13
2026-01-16 11:11:07.761112,6097.1
2026-01-17 11:11:07.761112,7670.05
2026-01-18 11:11:07.761112,7554.02
2026-01-19 11:11:07.761112,6545.06
2026-01-20 11:11:07.761112,7668.32
2026-01-21 11:11:07.761112,5584.22
2026-01-22 11:11:07.761112,6867.86
2026-01-23 11:11:07.761112,5725.24
2026-01-24 11:11:07.761112,7610.19
2026-01-25 11:11:07.761112,8398.87
2026-01-26 11:11:07.761112,6584.34
2026-01-27 11:11:07.761112,6020.19
2026-01-28 11:11:07.761112,6208.28
2026-01-29 11:11:07.761112,6912.6
2026-01-30 11:11:07.761112,6214.49
2026-01-31 11:11:07.761112,8012.08
2026-02-01 11:11:07.761112,7934.87
2026-02-02 11:11:07.761112,6274.47
2026-02-03 11:11:07.761112,7679.11
2026-02-04 11:11:07.761112,6930.97
2026-02-05 11:11:07.761112,5608.31
2026-02-06 11:11:07.761112,6720.97
2026-02-07 11:11:07.761112,7630.65
2026-02-08 11:11:07.761112,8396.0
2026-02-09 11:11:07.761112,6252.09
2026-02-10 11:11:07.761112,6597.85
2026-02-11 11:11:07.761112,6914.58
2026-02-12 11:11:07.761112,7101.83
2026-02-13 11:11:07.761112,6075.68
2026-02-14 11:11:07.761112,7851.98
2026-02-15 11:11:07.761112,7790.0
2026-02-16 11:11:07.761112,6369.76
2026-02-17 11:11:07.761112,7586.02
2026-02-18 11:11:07.761112,6912.66
2026-02-19 11:11:07.761112,6086.59
2026-02-20 11:11:07.761112,7182.83
2026-02-21 11:11:07.761112,9138.0
2026-02-22 11:11:07.761112,8601.4
2026-02-23 11:11:07.761112,5984.82
2026-02-24 11:11:07.761112,6509.26
2026-02-25 11:11:07.761112,7391.7
2026-02-26 11:11:07.761112,6411.28
2026-02-27 11:11:07.761112,6993.89
2026-02-28 11:11:07.761112,8521.93
2026-03-01 11:11:07.761112,7679.39
2026-03-02 11:11:07.761112,6762.82
2026-03-03 11:11:07.761112,5178.82
2026-03-04 11:11:07.761112,6294.12
2026-03-05 11:11:07.761112,6686.9
2026-03-06 11:11:07.761112,6196.16
2026-03-07 11:11:07.761112,9008.51
2026-03-08 11:11:07.761112,7485.48
2026-03-09 11:11:07.761112,6620.64
2026-03-10 11:11:07.761112,6912.9
2026-03-11 11:11:07.761112,7575.03
2026-03-12 11:11:07.761112,6143.33
2026-03-13 11:11:07.761112,7449.71
2026-03-14 11:11:07.761112,8255.12
2026-03-15 11:11:07.761112,7767.49
2026-03-16 11:11:07.761112,7119.79
2026-03-17 11:11:07.761112,6995.13
2026-03-18 11:11:07.761112,6602.36
2026-03-19 11:11:07.761112,6944.24
2026-03-20 11:11:07.761112,6723.55
2026-03-21 11:11:07.761112,8364.45
2026-03-22 11:11:07.761112,8647.0
2026-03-23 11:11:07.761112,7729.82
2026-03-24 11:11:07.761112,6324.77
2026-03-25 11:11:07.761112,8017.07
2026-03-26 11:11:07.761112,5981.37
2026-03-27 11:11:07.761112,6888.39
